index,name,sci_name
0,진달래,Rhododendron mucronulatum
1,메리골드,Tagetes erecta
2,절굿대,Echinops setifer
3,산당화,chaenomeles speciosa
4,조팝나무,Spiraea prunifolia
5,흰민들레,Taraxacum coreanum
6,맥문동,Liriope muscari
7,라일락,Syringa vulgaris
8,벚나무,Prunus × nudiflora
9,씀바귀,Ixeridium dentatum
10,코스모스,Cosmos bipinnatus
11,기생초,Coreopsis tinctoria
12,백일홍,Zinnia elegans
13,금잔화,Calendula officinalis
14,구절초,Dendranthema zawadskii var. latilobum
15,엉겅퀴,Cirsium japonicum
16,민들레,Taraxacum platycarpum
17,좁쌀풀,lysimachia vulgaris
18,메꽃,Calystegia sepium
19,월계화,Rosa chinensis
20,동백나무,Camellia japonica
21,모란,Paeonia suffruticosa
22,수국,Hydrangea macrophylla
23,국화,Chrysanthemum morifolium
24,장미,Rosa hybrida
25,찔레,Rosa multiflora
26,월계화,Rosa chinensis
27,개망초,Erigeron annuus
28,무궁화,Hibiscus syriacus
29,나팔꽃,Ipomoea nil
30,해바라기,Helianthus annuus
31,배롱나무,Lagerstroemia indica
32,부처꽃,Lythrum anceps
33,부용,Hibiscus mutabilis
34,팬지,Viola tricolor var. hortensis
35,도라지,Platycodon grandiflorus
36,용담,Gentiana scabra
37,개맨드라미,Celosia argentea
38,천일홍,Gomphrena globosa
39,금어초,Antirrhinum majus
40,피튜니아,Petunia
41,삼색제비꽃,Viola tricolor
42,물봉선,Impatiens textorii
43,제라늄,Geranium
44,튤립,Tulipa gesneriana
45,철쭉,Rhododendron schlippenbachii
46,유홍초,Ipomoea quamoclit
47,풍선덩굴,Cardiospermum halicacabum
48,봉선화,Impatiens balsamina
49,분꽃,Mirabilis jalapa
50,미모사,Mimosa pudica
51,채송화,Portulaca grandiflora
52,니겔라,Nigella damascena
53,목련,Magnolia kobus
54,제비꽃,Viola mandshurica
55,조뱅이,Cirsium arvense
56,달맞이꽃,Oenothera tetraptera
57,달개비,Commelina communis
58,말채나무,Cornus walteri
59,벌노랑이,Lotus pedunculatus
60,가락지나물,Potentilla reptans
61,참나리,Lilium lancifolium
62,개발나물,Sium suave
63,매화나무,Prunus mume
64,복수초,Adonis amurensis
65,미나리아재비,Ranunculus japonicus
66,개나리,Forsythia koreana
67,할미꽃,Pulsatilla koreana
68,아네모네,Anemonastrum
69,노루귀바람꽃,Anemone hepatica
70,누리장나무,Clerodendrum trichotomum
71,안개꽃,Gypsophila elegans
72,프리지아,Freesia refracta
73,물망초,Myosotis scorpioides
74,수선화,Narcissus tazetta var. chinensis
75,데이지,Bellis perennis
76,라넌큘러스,Ranunculus asiaticus
77,히아신스,Hyacinthus orientalis
78,모란,Paeonia suffruticosa
79,붓꽃,Iris sanguinea
80,깽깽이풀,Plagiorhegma dubium
81,기린초,Sedum kamtschaticum
82,로즈마리,Salvia rosmarinus
83,메밀꽃,Fagopyrum esculentum
84,에델바이스,Leontopodium alpinum
85,양귀비,Papaver somniferum
86,사철나무,Euonymus japonicus
87,자스민,asminum officinale
88,투구꽃,Aconitum lycoctonum
89,현호색,Corydalis yanhusuo
90,털머위,Farfugium japonicum
91,세이지,Salvia officinalis
92,서양톱풀,Achillea millefolium
93,질경이,Plantago asiatica
94,접시꽃,Alcea rosea
95,아욱,Malva verticillata
96,아카시아,Robinia pseudoacacia
97,금낭화,Lamprocapnos spectabilis
98,봄까치꽃,Veronica persica
99,백합,Lilium longiflorum
